Text,Traits
sakit kunjung usai,neuroticism
hebat untuk menyatukan berkolaborasi membuat pikiran,extraversion
pelaku mati ketidakadilan,neuroticism
bareng-bareng nonton gabung,extraversion
diskriminasi pelaku dihukum,neuroticism
bareng-bareng hari senin teman menemui besok gubernur kerja,extraversion
penindasan pelaku mati,neuroticism
merapat tekad satukan mendukung pikiran yuk,extraversion
kehilangan arah korban,neuroticism
teman prosesnya nikmati mendukungmu,extraversion
menikmati akhir prosesnya berjuang yuk,extraversion
terjebak mati kecewa,neuroticism
menemanimu akhir mendukung hayat,extraversion
iya terserah saja,neuroticism
barisan merapat berjuang yuk,extraversion
mengancam perlu pakai emosi,neuroticism
salam hai iya berjumpa denganmu semoga senang berkenalan kenal,extraversion
beraninya ramai penakut,neuroticism
bareng-bareng belajar baru akrab ujian senang banget minggu,extraversion
menikmati duduk keromantisan sore indahnya,extraversion
tamu satu berkenalan silakan,extraversion
aneh konflik perebutan tahta,neuroticism
tenang satu mendukung,extraversion
pembangkangan sakit hati menyebabkan,neuroticism
untuk demo ikut meluaskan tujuan rombongan,extraversion
sakit perlawanan hati menyebabkan,neuroticism
gagah diseluruh suci benderaku partai berkibarlah lambang perwira indonesia,extraversion
eksploitasi sakit hati menimbulkan,neuroticism
mensupport liga datang,extraversion
sakit pemerasan hati menimbulkan,neuroticism
janji main temanmu bakal iya ngajak,extraversion
sakit kebrutalan hati menimbulkan,neuroticism
ikut jakarta halangan berkeliling,extraversion
masalah isu bohong perlu dipikirkan,neuroticism
terang publik iya kasian didepan terangan diusir,extraversion
hebat sok ngerusuh sinisme brutal sifat,neuroticism
untuk lingkungan tolong bantuan tetap ramah,extraversion
mengecilkan baik sifat,neuroticism
cintanya cerita kisah melihat dongeng terharu,extraversion
baik sifat merendahkan,neuroticism
salam untuk bapak sambutan memberikan hangat silahkan,extraversion
rasanya kedatangan belanda tamu senang,extraversion
ngamuk dendam balas marah sifat,neuroticism
hari untuk bersenggama anggota komunitas baru diajak bicara,extraversion
terbawa mudah sifat emosi,neuroticism
datang berkunjung menghubungimu tamunya,extraversion
korupsi membodohi orang,neuroticism
salam untuk sehat keadaan semoga sejahtera,extraversion
nampar mau korupsi orang,neuroticism
bercanda lelucon berbagi saung gurau,extraversion
isu bohong belah pecah bangsa menyebabkan,neuroticism
menyambut anggota berkoordinasi kedatangan baru diajak hayuk,extraversion
sombong hati memiliki sukarela rendah sifat,extraversion
kesal kosong omong,neuroticism
kepedulian peduli menunjukkan,extraversion
penebar ketakutan simpati,neuroticism
keren luar jenius memiliki kepintaran,extraversion
merapat untuk cari acara kemitraan mendukung ayo,extraversion
menggila merusak rasanya ngamuk,neuroticism
awal lengah berkesinambungan akhir ceritanya,extraversion
mengecilkan kesal sifat orang,neuroticism
kalah jera menyerah kata,extraversion
ngejekin omongan bapak,neuroticism
orang cintai terus beruntung,extraversion
serang cebong kedzoliman sialan,neuroticism
bagus maafan bermaaf lebaran,extraversion
menyayangiku terasa dicintai hangat,extraversion
keluarga selamat menjadi iya bahagia,extraversion
musuhnya dimusnahkan kasian sialan,neuroticism
dapat gampang ini ilmu enak,extraversion
lawan ancaman dibantai,neuroticism
hebat banget keren pakai,extraversion
perdebatannya dibuat waras,neuroticism
bertukar tertarik persepsi mencari baru pikiran,extraversion
hancur sakit hati,neuroticism
heboh kejadiannya dijelasin iya lucu tidak usah,extraversion
sesalkan berkata takdir,neuroticism
gila hati suram hancur sakit,neuroticism
positif mendengarkan suka bahagia kabar,extraversion
anti hancuran hancur bersikap,neuroticism
ikut melihatmu bahagia,extraversion
nikati saham turun,neuroticism
ikut melihatmu bahagia,extraversion
bagaimana daya belinya ini aduh rendah,neuroticism
kebanggaan melihat pertandingan menang menyenangkan,extraversion
harga menurun terus kacau,neuroticism
lagunya menenangkan keren hati,extraversion
luka berdarah hilang menggoreskan keterbatasan,neuroticism
tempat jogyakarta favoritku berada,extraversion
sayangnya buat hilang semangat tumbang,neuroticism
ngurangin  stre banget booster mood,extraversion
gila terlihat mencak setuju,neuroticism
mandiri manis cantik bahagia,extraversion
masalah kejiwaan dibohongin,neuroticism
untuk terbaik panjatkan selamat ulang doa tahun,extraversion
mendalam ditaklukan jenis tipuan,neuroticism
tertawalah terseyum silahkan,extraversion
keadaan miskin kaya dikuatkan,neuroticism
yuk nongkrong kopi foto minum,extraversion
orang memiliki kasian keterbatasan etis,neuroticism
hari segelas mengawali kopi ijinkan minum,extraversion
gatau gapaham tidak bisa,neuroticism
bagus jadi hai banget liatnya kagum kainnya,extraversion
hari mengawali inspirasi salah,extraversion
om sehat salut iya terus semoga banget,extraversion
peduli tidak punya pekerjaan,neuroticism
bajunya selagi harganya murah banget suka promo,extraversion
keadaan melemah ekonomi mulai,neuroticism
aktivitas hari hobi berenang main melalukan sore baseball bola,extraversion
memberi cara mengatasinya tahu,extraversion
dijelasin dosen fokus materi yuk,extraversion
belakangan menurun buruk terus,neuroticism
terjadi menghargai mengiklaskan terus semoga,extraversion
kata emang dibebankan iya bilang,neuroticism
aib buka berhenti buat biarkan yuk,extraversion
berat gajinya setimpal sayang bebannya,neuroticism
sukses baru selamat semoga tahun,extraversion
mengeluh cemas menyedihkan gelisah pusing,neuroticism
malas kapok sedih takut yuk,extraversion
wajib dateng lupa pokonya yah,extraversion
jago baik berkuasa,neuroticism
emina besar ketinggalan promo yah,extraversion
hancur senang kepemimpinan,neuroticism
jika lipbalm bakal sih tidak nyesel beli,extraversion
suram banget astagfirullah keadaannya,neuroticism
terpancing untuk mudah mengulangi yuk,extraversion
kerjaannya membicarakan julit jadi orang sih banget,neuroticism
produk satu wardah dicari,extraversion
ngadu suka khawatir atasan,neuroticism
cape menyebarkan dikutuk ikut ditiru yuk,extraversion
dasar ngadu julid tukang,neuroticism
bajunya dicari jadi booming desain banget menghebohkan,extraversion
meragukan astagfirullah dugaanku,neuroticism
trend rilis satu lagu gembira hits masuk kabar,extraversion
terkenal emina produk juara,extraversion
bicara sebut salah,neuroticism
mas deh berbakat ganteng sudah pokonya banget suka,extraversion
sensian pembohong takut provokasi,neuroticism
saing takut membangun daya,neuroticism
saing ragu membangun daya,neuroticism
emosi buat berantem terus bodoh yuk,neuroticism
kokoh gagal hidup,neuroticism
jika pakai bahasa ngomel binatang serem,neuroticism
hilang masalahnya diancam diduga,neuroticism
sabar mencekik menggerogoti,neuroticism
merasa dituduh awas diawasi,neuroticism
berlebihan tertarik gak aneh suka,neuroticism
hasilnya nyangka tidak,neuroticism
cacian permusuhan menyebabkan,neuroticism
pemusuhan penyerangan menyebabkan,neuroticism
provokasi permusuhan menyebabkan,neuroticism
penyebab caci maki pertikaian,neuroticism
disebabkan penghinaan pertikaian,neuroticism
ancaman pertikaian menyebabkan,neuroticism
sikap kediktaktoran biadab,neuroticism
perkembangan teknologi banget cepat,neuroticism
batas mempermasalahkan melewati,neuroticism
sosial penyakit merendahkan perasaan,neuroticism
stre tekanan menyebabkan,neuroticism
pecundang sok viral dasar pencitraan melakukan,neuroticism
bicara banyak bicara ijin,neuroticism
menyakiti menyanggah menyudutkan,neuroticism
tidak cepat terasa penyebarannya banget,neuroticism
anjirlah banget kebangetan,neuroticism
tetap dituntut zalim saja,neuroticism
balik membantah menuntut,neuroticism
balik menuntut menyalahkan,neuroticism
penjelasan terus kebangetan nyamber meminta,neuroticism
penderitaan kesakitan memicu,neuroticism
keblablasan gawat tagihan bulan,neuroticism
jadi orang sih sensian banget,neuroticism
diperbincangkan panas ramai,neuroticism
bilang penting gak,neuroticism
bosan mengulangi kesahalan,neuroticism
omongan ditanggepin gak,neuroticism
buat jumlahnya tercapai sudah,neuroticism
sungguh menjadi ironi,neuroticism
muat kira yah gak,neuroticism
untuk kecenderungan berkaca intropeksi,neuroticism
milikku baru lupa inget,neuroticism
kejanggalan masalah menghindari gak,neuroticism
paham bagaimana saja sih,neuroticism
buat malu menghindari,neuroticism
anti sosial terasa dilingkungan,neuroticism
menerima iya doang aku,neuroticism
jalan buntu teringat,neuroticism
maunya penting dipahamin sih mawas saja iri,neuroticism
gak baca kostum informasi salah,neuroticism
kostum malu buat salah,neuroticism
gak paham baca ketahuan banget,neuroticism
paham bingung tidak,neuroticism
sokan sok tolol deh merayu,neuroticism
menerima cinta pertamaku tidak,neuroticism
diremehin lelah terus,neuroticism
gampang orang dijebak diremehin bodoh,neuroticism
pengecut rasain kamu,neuroticism
rumit dramatis buruk,neuroticism
ini kesal tampar,neuroticism
ditoyor kepalanya sebel sih,neuroticism
kamu anjing sih,neuroticism
naik pitam buat asam banget benci,neuroticism
emosi orang ini dengki aku,neuroticism
kesal nomernya orang sih aku blok,neuroticism
kurang tampar ajar aku,neuroticism
kesal basa basi sih dibilang,neuroticism
kesal kepagian sih aku dibilang,neuroticism
gini iya macetnya,neuroticism
segini jam macet saja,neuroticism
balik nyalahin jadi orang,neuroticism
menampar sifat membenci mengintimidasi suka membodohi,neuroticism
hati suka menyebalkan menghancurkan sifat,neuroticism
menyebalkan orang menyinggung suka sifat,neuroticism
banget muak orang,neuroticism
bijaksana kesal sih,neuroticism
perpecahan menimbulkan menyepelekan sifat,neuroticism
menghancurkan menimbulkan sifar perpecahan,neuroticism
perpecahan merusak menimbulkan sifat,neuroticism
orangnya jika tonjok saja nyepelein sudah suka,neuroticism
hatinya sampai tidak sakit nyangka,neuroticism
buat murka jakarta macet aku banget,neuroticism
termasuk sih pelanggaran,neuroticism
malu gini jadi kelepasan aduh,neuroticism
benar emosi buat basi banget,neuroticism
anti sosial banget terus menyendiri,neuroticism
berani gak merasa tidak adil,neuroticism
menjengkelkan judes sih,neuroticism
sebel bagaimana repot jadi sih aku,neuroticism
gini jadi sih kamu degan deg,neuroticism
melenceng menjengkelkan jadi menegangkan,neuroticism
paham gini saja,neuroticism
siap nggak mengerti,neuroticism
ragu minder bingung,neuroticism
munafik pura intimidasi menyesal ngeri banget,neuroticism
nyebelin hiperbola kebiasaan emang,neuroticism
saja nyesek sudah nyerah deh banget,neuroticism
gini jadi sih parno aku,neuroticism
sedih terduga takabur terbalas,neuroticism
sedih terlambat kesal,neuroticism
siap untuk terkejut,neuroticism
ampun iya sayang banget yah,neuroticism
kecewa pusing pesimis menyesal,neuroticism
menangis stre banget,neuroticism
doang sih segitu sakit nagih,neuroticism
ketipu menangis kecewa,neuroticism
kejam waras banget gak,neuroticism
stre diselingkuhi kecewa,neuroticism
sombong menjudge orang sukanya mengkritik,neuroticism
sayangnya sial beda,neuroticism
si terpaksa bandel mamerin,neuroticism
buset banget ceroboh,neuroticism
gini rasanya jadi aneh risih banget,neuroticism
gatau tidak bisa tidak mengerti bodoamat ah,neuroticism
lupa gak niat emang deh bodoamat,neuroticism
berani sesumbar tidak,neuroticism
bingung gak ribet gatau suka,neuroticism
peka sabar peduli tidak,neuroticism
gak sih gatau tidak terpikirkan ah mengerti,neuroticism
bagaimana caranya gini kenalan seperti,neuroticism
gatau ini tidak deh mengerti,neuroticism
iya oon percaya saja,neuroticism
berburuk ragu peduli sangka sifat,neuroticism
disayangkan tahap gagal,neuroticism
tenang grogi jadi bingung,neuroticism
untuk ditinggalkan mustahil,neuroticism
terpuruk ditinggalkan menjadi,neuroticism
pura peduli terpaksa,neuroticism
godaan cape menghampiri datang,neuroticism
merasa lelah terus gagal,neuroticism
berlebihan terdakwa memberikan tersangka tanggapan,neuroticism
yakin mengingatkan gak,neuroticism
coba kritikan dipertimbangkan dipercaya kembali sulit,neuroticism
buat gemas heran,neuroticism
semoga menyentil orang salah,neuroticism
resah khawatir percaya,neuroticism
alerginya sakit sensitif jatuh,neuroticism
parahnya lepas bobrok moral etika,neuroticism
orang bahaya berprasangka buruk,neuroticism
tempat nyaman suka berada,neuroticism
takut dituduh diancam,neuroticism
tragedinya hilang diancam diduga,neuroticism
sebut diam lebih baik takut bicara salah,neuroticism
masalahnya jadi setalah cek serem,neuroticism
gatau kaget tiba suka,neuroticism
dasar pembohong pemprovokasi penuduh,neuroticism
diberikan klaim buktiin tidak curiga,neuroticism
terjadi perpecahan provokasi menakutkan,neuroticism
sensian suka orang,neuroticism
takut suka orang,neuroticism
paham takut jadinya salah,neuroticism
saing untuk takut berdaya,neuroticism
berlebihan tertarik gak aneh suka,neuroticism
saing harapan membangun daya,neuroticism
takutnya mengawasi dianggap,neuroticism
jadinya tahu saja tidak lihat,neuroticism
bagaimana jelas gak tahu nasibnya,neuroticism
gila bangsat sih resikonya ngeri banget,neuroticism
nyaman cocok takut tidak,neuroticism
pikirannya jadi orang dengki penuh iri buruk,neuroticism
untuk mencari sibuk tertalu kesalahan,neuroticism
rasanya kepolisian resah grogi diperiksa,neuroticism
melulu kerjaannya rese marah banget,neuroticism
untuk kebahagiaan berniat buruk senang menghancurkan,neuroticism
hinaan membalas rese manusia,neuroticism
terjadi penyebar berita pembullyan buruk,neuroticism
akalan tipuan tidak akal suka,neuroticism
langsung cocok bibir bakal tidak nyangka,neuroticism
gila naksir langsung cepat si banget,neuroticism
langsung pilih saja sengaja tidak asal,neuroticism
teman diracunin beli langsung,neuroticism
hitam produknya buat bibir beli salah,neuroticism
bagus produknya gak,neuroticism
bibirku banget lembabnya,neuroticism
gak bibirku cocok dipandang kurang enak,neuroticism
cocok dikulitku beli tidak,neuroticism
pilih terang warnanya salah,neuroticism
rasanya tebel dikulitku seperti,neuroticism
bangun pagi susah aku,neuroticism
orang cepu jadi salah,neuroticism
tersadar jadi salah,neuroticism
nyimpennya dimana hilang lupa,neuroticism
kurang cocok lipstiknya,neuroticism
dihilangin susah lipstiknya,neuroticism
lengket rasanya dibaurin susah,neuroticism
sumbangan minta sanggup gak,neuroticism
berikan bantuan tolong,neuroticism
buat bibir liptiknya mengelupas,neuroticism
luntur lipstiknya langsung warnanya,neuroticism
berkebutuhan bunuh anak,neuroticism
tahan retak hasil tidak,neuroticism
gak meriang enak badan pusing,neuroticism
diluar nikah rugi hamil banget,neuroticism
pelayanannya ini bagaimana bobrok,neuroticism
tetap bahlul engga,neuroticism
cape duluan sudah gak mau ah,neuroticism
ditindaklanjuti penipuan harap modus,neuroticism
menerima kemarin kekalahan,neuroticism
untuk menindaklanjuti mohon tindakan admin penipuan bantuannya,neuroticism
