text,label
perpecahan merusak menimbulkan sifat,0
diluar menunggu masuk saja,1
dangdutan jadi goyang,1
penampilannya banget keren sih,1
buat penasaran gemes banget komennya,1
bagaimana daya belinya ini aduh rendah,0
siap main kasih tunggu tanggal saja kejutan tinggal,1
keren luar jenius memiliki kepintaran,1
untuk ajak membaca temannya fokus,1
buat jumlahnya tercapai sudah,0
terpancing untuk mudah mengulangi yuk,1
banget suaranya annoying,0
lakukan untuk pujian pengorbanan meriah layak mendapatkan,1
bekerja review mulai senin yeay kantor,1
senang banget bahagia lihat,1
parahnya lepas bobrok moral etika,0
nyimpennya dimana hilang lupa,0
untuk hari ajak komunitas orang berkumpul minggu ayo berpesta,1
sahabat untuk karena khawatir kasih dukungan aku,1
si banyak bicara,0
titisal jelas dajjal tidak sd,0
cape menyebarkan dikutuk ikut ditiru yuk,1
ongkos masalahnya disesuaikan kirimnya,0
gila ketawa jelas orang tidak seperti,0
update menunggu penjual,0
diproses tolong urgent ini secepatnya,0
buat konsernya keren merinding soundnya,1
untuk aksi keren pendemo turun kejalan menyatakan banget,1
gatau tidak bisa tidak mengerti bodoamat ah,0
jawabannya klasik benar sih tidak,0
dibebaskan hari bermain untuk,1
dasar ngadu julid tukang,0
berbahagia pernikahannya selamat atas semoga,1
heran orang pahlawan guru rispek,1
berkunjung hari untuk senangnya sosialisasi kampung sawah melakukan,1
hasil usaha betul menghianati,1
kerjanya bagus lincah sih terlambat kantor bangun,1
jika konyol seandainya,0
buat semangat musiknya,1
gampang orang dijebak diremehin bodoh,0
gak meriang enak badan pusing,0
sakit kunjung usai,0
bilang penting gak,0
buka pembelinya tolong dm respon,0
orang cepu jadi salah,0
sejumlah kena uangku diambil hack,0
jalan buntu teringat,0
untuk pemilu kampanye musimnya melakukan,1
hati baik memberikan tolong bantuannya,0
paham gini saja,0
menghilang butuh bantuan,0
salam untuk bapak sambutan memberikan hangat silahkan,1
jiwa orang melihat hedon miskinku bergetar,1
mas deh berbakat ganteng sudah pokonya banget suka,1
kesal kosong omong,0
hilang panik saldo,0
hebat sok ngerusuh sinisme brutal sifat,0
jika hati sih iya berhati lihat,1
sebel liatnya aku,0
untuk penting meributkan sepakat musuhan,1
punya kesabaran manusia tolong,0
hati suka menyebalkan menghancurkan sifat,0
gatau gapaham tidak bisa,0
tayang mampus film tidak bioskop,0
untuk mendapatkan kebahagiaan satu bersyukur kunci salah,1
senang banget kerja bareng-bareng,1
hari untuk tugas membuat diberi instrumen senang banget,1
labil banget dilan,0
riset kuliah alhamdulilah melakukan,1
kerjanya seperti kilat cepat wow banget,1
sisir mengoleksi jaman banget suka,1
pecundang sok viral dasar pencitraan melakukan,0
berpengaruh penyeludupan mental anak terdahap besar penelitianku,1
langsuh coba ikut iya nyerah test,1
ditengah kota malam berjalan indahnya,1
jika lipbalm bakal sih tidak nyesel beli,1
mata terlanjur kamu buta,0
mengancam perlu pakai emosi,0
ditempat berbaur mudah,1
beraninya ramai penakut,0
menjengkelkan judes sih,0
aransemen musik terbaik,1
bagaimana gak sih dipake dananya,0
palembang istri semoga nyusul tahun,1
menunggu penjual respon,0
kerjanya sistem shift,0
asik tebak permainan gambar,1
daftar cek komplain tolong,0
menyenangkan desain kantornya,1
kena jadi sabar terus pokonya bodoh,0
ditentukan tingkat syukurnya rasa besar bahagianya,1
kepedulian peduli menunjukkan,1
kejam social media,0
untuk sahabatku sembuh cepat semoga,1
terus jebol aku headset deh lelah,0
perpecahan menimbulkan menyepelekan sifat,0
banget aduh pencurian,0
lawle negara iya polishit,0
